fractie_id,fractie_naam,fractie_kleur,fractie_logo_url,fractie_volgnr,fractie_zetel_aantal
1829396,N-VA,ffac12,https://docs.vlaamsparlement.be/files/pfile?id=2064893,10,31
1829398,Vlaams Belang,ffe500,https://docs.vlaamsparlement.be/files/pfile?id=2064895,20,31
1829393,Vooruit,ff2900,https://docs.vlaamsparlement.be/files/pfile?id=2064890,30,18
1829394,cd&v,f5822a,https://docs.vlaamsparlement.be/files/pfile?id=2064891,40,16
1829399,PVDA,aa050e,https://docs.vlaamsparlement.be/files/pfile?id=2064896,60,9
1829395,Groen,83de62,https://docs.vlaamsparlement.be/files/pfile?id=2064892,70,9
1829397,Anders.,3f38ff,https://docs.vlaamsparlement.be/files/pfile?id=2268890,80,8
1829400,Team Fouad Ahidar,5e17ed,https://docs.vlaamsparlement.be/files/pfile?id=2196777,99,1
-1,Onafhankelijke,787878,,999,1
