member_id,omschrijving,start_datum,eind_datum,start_datum_formaat,eind_datum_formaat
3430,"raadgever sociaal-economisch beleid, kabinet Vlaams minister-president Kris Peeters",,,,
4610,partijvoorzitter Open Vld,,,,
4070,"raadgever onderwijs, kabinet van viceminister-president Geert Bourgeois",,,,
4617,partijvoorzitter Groen,,,,
3411,raadgever Vlaamse kabinetten,,,,
3965,partijvoorzitter Open Vld,,,,
4625,co-partijvoorzitter Groen,,,,
4445,partijvoorzitter Open Vld,,,,
4406,partijvoorzitter sp.a / Vooruit,,,,
4406,partijvoorzitter Vooruit,,,,
3221,ondersteunend medewerker kabinet minister Peter Vanvelthoven,,,,
4061,partijvoorzitter Open VLD,,,,
4426,ondervoorzitter Groen,,,,
4426,co-partijvoorzitter Groen,,,,
4098,partijvoorzitter Vlaams Belang,,,,
